%	pa1+1
卆	zu2+1
升	Sheng1+3,sheng1+77
午	wu3+38
卉	hui4+5
半	Ban4+27,ban4+225,ban5+1
卋	shi4+1
卌	xi4+1
卍	wan4+1
华	Hua2+91,Hua4+11,hua1+2,hua2+159,hua4+4
协	Xie2+27,xie2+75
卐	wan4+1
卑	Bei1+5,bei1+31
卒	cu4+5,zu2+20
卓	Zhuo2+12,zhuo2+19
单	Dan1+4,Shan4+2,chan2+1,dan1+282
卖	Mai4+1,mai4+108
南	Nan2+228,na1+1,nan2+282
単	dan1+1
博	Bo2+55,bo2+103
卛	lu:4+1,shuai4+1
卜	Bo5+1,Bu3+1,bo5+21,bu3+30
卝	guan4+1,kuang4+1
卞	Bian4+1,bian4+1
卟	bu3+3
占	Zhan4+4,zhan1+8,zhan4+41
卡	Ka3+87,ka3+208,qia3+10
卢	Lu2+32,lu2+20
卣	you3+1
卤	lu3+28
卦	gua4+14
卧	Wo4+5,wo4+50,wo5+1
卨	xie4+1
卩	jie2+1
卪	jie2+1,xx5+1
卫	Wei4+23,wei4+133
卬	Ang2+1,ang2+1
卮	zhi1+2
卯	mao3+18
印	Yin4+56,yin4+127
危	Wei1+3,wei1+79
卲	Shao4+1
即	Ji2+2,ji2+66
却	que4+23
卵	luan3+40
卷	juan3+77,juan4+34
卸	xie4+22
卺	jin3+4
卼	wu4+1
卽	ji2+1
卿	qing1+15
厂	chang3+70,han3+1
厄	E4+11,e4+12
厅	ting1+47
历	Li4+12,li4+104,li5+2
厉	Li4+1,li4+26
压	ya1+166,ya4+5,ya5+2
厌	yan1+2,yan4+46
厍	She4+1
厎	zhi3+1
厐	pang2+1
厓	ya2+1
厔	zhi4+1
厕	ce4+14,si4+1,si5+2
厖	pang2+1
厗	Ti2+1,ti2+1
厘	Li2+1,li2+24
厚	Hou4+6,hou4+65,hou5+1
厜	zui1+1
厝	cuo4+3
厞	fei4+1
原	Yuan2+18,yuan2+266
厢	xiang1+16
厣	yan3+1
厥	jue2+10
厦	Xia4+4,sha4+15,xia4+1
厨	chu2+19
厩	jiu4+3
厪	jin3+1,qin2+1
厮	si1+11
厰	chang3+1
厳	yan2+1
厶	mou3+1,si1+1
厷	gong1+1,hong2+1
厹	qiu2+1,rou2+1
厺	qu4+1
去	qu4+138,qu5+14
厼	xx5+1
厾	du1+2
县	Xian4+112,xian4+1752
叁	san1+2
参	Can1+5,Shen1+3,can1+73,cen1+3,shen1+18
叄	san1+1
叆	ai4+4
叇	dai4+2
又	you4+32
叉	cha1+46,cha2+1,cha3+1,cha4+4
及	ji2+98
友	You3+12,you3+99,you5+13
双	Shuang1+46,huang1+1,shuang1+172
反	Fan3+5,fan3+321
収	shou1+1
发	Fa1+13,fa1+465,fa4+96,fa5+6
叒	ruo4+2
叔	Shu1+4,shu1+24,shu5+3
叕	zhuo2+2
取	qu3+163
受	Shou4+2,shou4+180,shou5+1
变	Bian4+5,bian4+273
叙	Xu4+8,xu4+24
叛	pan4+27
叟	sou3+7
叠	Die2+2,die2+29
